"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2018","12","1","Naruto. Vol. 65, Hashirama and Madara / story and art by Masashi Kishimoto ; translation, Mari Morimoto.","Kishimoto, Masashi, 1974-","Naruto Fictitious character Comic books strips etc, Ninja Japan Comic books strips etc, Graphic novels","VIZ Media,","[2014]"
"Physical","Horizon","BOOK","2018","12","2","Oishisō na shirokuma / Shibata Keiko.","Shibata, Keiko.","Polar bear Juvenile fiction, Food Juvenile fiction, Picture books for children, Japanese language materials","Pīeichipīkenkyūjo,","2017."
"Physical","Horizon","VIDEODISC","2018","12","7","Like crazy / Paramount Vantage ; Indian Paintbrush ; Super Crispy Entertainment ; produced by Jonathan Schwartz, Andrea Sperling ; written by Drake Doremus & Ben York Jones ; directed by Drake Doremus.",,"First loves Drama, College students Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount Home Entertainment,","[2012]"
"Digital","OverDrive","AUDIOBOOK","2018","12","3","Catch a Falling Heiress: American Heiress In London Series, Book 3 (unabridged) (Unabridged)","Laura Lee Guhrke","Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc.","2016"
"Physical","Horizon","BOOK","2018","12","1","Literally show me a healthy person / Darcie Wilder.","Wilder, Darcie","Young women Fiction, Grief Fiction","Tyrant Books,","[2017]"
"Physical","Horizon","BOOK","2018","12","1","The destruction of Dresden. / With an introd. by Ira C. Eaker.","Irving, David John Cawdell, 1938-","World War 1939 1945 Destruction and pillage Germany Dresden, Dresden Germany History","Holt, Rinehart and Winston,","[1964]"
"Physical","Horizon","BOOK","2018","12","2","The ancient magus' bride. [Volume 9] / [story and art by Kore Yamazaki ; translation, Adrienne Beck ; adaptation, Ysabet Reinhardt MacFarlane ; lettering and retouch, Lys Blakeslee].","Yamazaki, Kore","Magic Comic books strips etc, Teenage girls Comic books strips etc, Wizards Comic books strips etc, Brides Comic books strips etc, Incantations Comic books strips etc, Comics Graphic works, Fantasy comics, Graphic novels","Seven Seas Entertainment, LLC,","[2018]"
"Digital","OverDrive","EBOOK","2018","12","6","Broken Things","Lauren Oliver","Suspense, Thriller, Young Adult Fiction, Young Adult Literature","HarperCollins Publishers Inc.","2018"
"Physical","Horizon","VIDEODISC","2018","12","8","Art house / Onereic House Productions ; Don Freeman, producer, director, editor, still photography, cinematography.",,"Wright Russel 1904 1976 Manitoga, Soleri Paolo 1919 2013 Cosanti, Hague Raoul 1905 1993 Homes and haunts, Mercer Henry C 1856 1930 Castle for the New World, Kahn Michael 1936 2007 Eliphante, Radcliffe Whitehead Ralph Homes and haunts, Esherick Wharton Homes and haunts, Nakashima George 1905 1990 Homes and haunts, Nivola Costantino 1911 1988 Homes and haunts, Poor Henry Varnum 1887 1970 Homes and haunts, Church Frederic Edwin 1826 1900 Homes and haunts, Byrdcliffe Art colony, Olana Partnership, Artists Homes and haunts United States, Architecture Domestic United States, Artists studios United States, Artists as architects United States, Art and architecture United States, Interior decoration United States, Documentary films, Nonfiction films, Feature films","First Run Features,","c2016."
"Physical","Horizon","BOOK","2018","12","4","The tooth book / by Dr. Seuss writing as Theo. LeSieg ; illustrated by Joe Mathieu.","LeSieg, Theo., 1904-1991","Teeth Juvenile fiction, Stories in rhyme Juvenile fiction","Random House,","2000."
